Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_6.qasm,225,130,95(42.22%),,45,28,17(37.78%),,90(x),38(x),52(57.78%),,135(cx),92(cx),43(31.85%),,4.000028371810913,30.421875
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_7.qasm,225,155,70(31.11%),,45,31,14(31.11%),,90(x),56(x),34(37.78%),,135(cx),99(cx),36(26.67%),,4.594010829925537,30.1484375
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_8.qasm,225,136,89(39.56%),,45,29,16(35.56%),,90(x),40(x),50(55.56%),,135(cx),96(cx),39(28.89%),,4.10915207862854,30.265625
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_9.qasm,225,142,83(36.89%),,45,28,17(37.78%),,90(x),42(x),48(53.33%),,135(cx),100(cx),35(25.93%),,5.000005006790161,30.0078125
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_0.qasm,270,162,108(40.00%),,45,34,11(24.44%),,90(x),48(x),42(46.67%),,180(cx),114(cx),66(36.67%),,5.20309042930603,30.015625
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_1.qasm,270,192,78(28.89%),,45,39,6(13.33%),,90(x),52(x),38(42.22%),,180(cx),140(cx),40(22.22%),,6.297163009643555,30.8828125
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_2.qasm,270,179,91(33.70%),,45,34,11(24.44%),,90(x),56(x),34(37.78%),,180(cx),123(cx),57(31.67%),,4.187220335006714,30.18359375
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_3.qasm,270,168,102(37.78%),,45,33,12(26.67%),,90(x),40(x),50(55.56%),,180(cx),128(cx),52(28.89%),,6.625152349472046,30.6328125
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_4.qasm,270,171,99(36.67%),,45,31,14(31.11%),,90(x),52(x),38(42.22%),,180(cx),119(cx),61(33.89%),,6.593584775924683,30.26953125
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_5.qasm,270,170,100(37.04%),,45,34,11(24.44%),,90(x),44(x),46(51.11%),,180(cx),126(cx),54(30.00%),,4.687539577484131,30.73046875
